birthplace,filename,native_language,sex,country,native_language_num,target_frequency,target,target_lbl
"jilandhar, punjab, india",punjabi8.mp3,punjabi,male,india,140,10,21,punjabi
"sanandaj, iran",kurdish7.mp3,kurdish,male,iran,96,10,15,kurdish
"sulaymaniyah, iraq",kurdish10.mp3,kurdish,male,iraq,96,10,15,kurdish
"sulaymaniyah, iraq",kurdish5.mp3,kurdish,male,iraq,96,10,15,kurdish
"kabul, kandahar, afghanistan",pashto1.mp3,pashto,female,afghanistan,135,10,19,pashto
"mansehra, pakistan",pashto10.mp3,pashto,female,pakistan,135,10,19,pashto
"kabul, kandahar, afghanistan",pashto2.mp3,pashto,female,afghanistan,135,10,19,pashto
"kandahar, afghanistan",pashto3.mp3,pashto,female,afghanistan,135,10,19,pashto
"peshawar, pakistan",pashto4.mp3,pashto,female,pakistan,135,10,19,pashto
"kandahar, afghanistan",pashto5.mp3,pashto,female,afghanistan,135,10,19,pashto
"kandahar, afghanistan",pashto6.mp3,pashto,male,afghanistan,135,10,19,pashto
"sulaymaniyah, iraq",kurdish6.mp3,kurdish,female,iraq,96,10,15,kurdish
"kabul, afghanistan",pashto7.mp3,pashto,female,afghanistan,135,10,19,pashto
"kabul, afghanistan",pashto9.mp3,pashto,male,afghanistan,135,10,19,pashto
"sargodha, pakistan",punjabi1.mp3,punjabi,male,pakistan,140,10,21,punjabi
"arbil, iraq",kurdish1.mp3,kurdish,male,iraq,96,10,15,kurdish
"kot kapura, india",punjabi9.mp3,punjabi,male,india,140,10,21,punjabi
"hawler, kurdistan, iraq",kurdish2.mp3,kurdish,male,iraq,96,10,15,kurdish
"sulaymaniyah, iraq",kurdish3.mp3,kurdish,female,iraq,96,10,15,kurdish
"kirkuk, iraq",kurdish4.mp3,kurdish,male,iraq,96,10,15,kurdish
"paktia, afghanistan",pashto8.mp3,pashto,male,afghanistan,135,10,19,pashto
"bilwi, puerto cabezas, nicaragua",miskito9.mp3,miskito,male,nicaragua,117,11,17,miskito
"krinkrin, rio coco, nicaragua",miskito1.mp3,miskito,male,nicaragua,117,11,17,miskito
"kyiv, ukraine",ukrainian1.mp3,ukrainian,male,ukraine,186,59,23,russian
"kiev, ukraine",ukrainian5.mp3,ukrainian,male,ukraine,186,59,23,russian
"kiev, ukraine",ukrainian4.mp3,ukrainian,male,ukraine,186,59,23,russian
"odessa, ukraine",ukrainian3.mp3,ukrainian,female,ukraine,186,59,23,russian
"akhtyrka, ukraine",ukrainian2.mp3,ukrainian,female,ukraine,186,59,23,russian
"odessa, ukraine",ukrainian11.mp3,ukrainian,female,ukraine,186,59,23,russian
"lvivska oblast, ukraine",ukrainian10.mp3,ukrainian,female,ukraine,186,59,23,russian
"walakitang, rio coco, nicaragua",miskito8.mp3,miskito,male,nicaragua,117,11,17,miskito
"kum, rio coco, nicaragua",miskito10.mp3,miskito,male,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito11.mp3,miskito,female,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito2.mp3,miskito,female,nicaragua,117,11,17,miskito
"luhansk, ukraine",ukrainian8.mp3,ukrainian,male,ukraine,186,59,23,russian
"bilwi, puerto cabezas, nicaragua",miskito3.mp3,miskito,male,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito4.mp3,miskito,male,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito5.mp3,miskito,female,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito6.mp3,miskito,male,nicaragua,117,11,17,miskito
"bilwi, puerto cabezas, nicaragua",miskito7.mp3,miskito,male,nicaragua,117,11,17,miskito
"zaporizhzhya, ukraine",ukrainian9.mp3,ukrainian,male,ukraine,186,59,23,russian
"priluki, ukraine",ukrainian6.mp3,ukrainian,female,ukraine,186,59,23,russian
"kiev, ukraine",ukrainian7.mp3,ukrainian,male,ukraine,186,59,23,russian
"dharan, nepal",nepali3.mp3,nepali,male,nepal,126,13,18,nepali
"pokhara, nepal",nepali4.mp3,nepali,male,nepal,126,13,18,nepali
"chisapani, nepal",nepali5.mp3,nepali,male,nepal,126,13,18,nepali
"bhadrapur, nepal",nepali6.mp3,nepali,male,nepal,126,13,18,nepali
"katmandu, nepal",nepali1.mp3,nepali,female,nepal,126,13,18,nepali
"katmandu, nepal",nepali2.mp3,nepali,female,nepal,126,13,18,nepali
"katmandu, nepal",nepali13.mp3,nepali,female,nepal,126,13,18,nepali
"katmandu, nepal",nepali12.mp3,nepali,female,nepal,126,13,18,nepali
"katmandu, nepal",nepali11.mp3,nepali,female,nepal,126,13,18,nepali
"katmandu, nepal",nepali10.mp3,nepali,female,nepal,126,13,18,nepali
"chitwan, nepal",nepali7.mp3,nepali,male,nepal,126,13,18,nepali
"pokhara, nepal",nepali8.mp3,nepali,male,nepal,126,13,18,nepali
"baglung, nepal",nepali9.mp3,nepali,male,nepal,126,13,18,nepali
"sukhothai, thailand",thai6.mp3,thai,male,thailand,179,15,29,thai
"bangkok, thailand",thai3.mp3,thai,male,thailand,179,15,29,thai
"chiang mai, thailand",thai2.mp3,thai,male,thailand,179,15,29,thai
"bangkok, thailand",thai14.mp3,thai,female,thailand,179,15,29,thai
"nakhon si thammarat, thailand",thai13.mp3,thai,female,thailand,179,15,29,thai
"bangkok, thailand",thai12.mp3,thai,male,thailand,179,15,29,thai
"bang na, thailand",thai11.mp3,thai,male,thailand,179,15,29,thai
"bangkok, thailand",thai10.mp3,thai,male,thailand,179,15,29,thai
"bethlehem, pennsylvania, usa",greek12.mp3,greek,male,usa,59,15,10,greek
"khon kaen, thailand",thai1.mp3,thai,female,thailand,179,15,29,thai
"ioannina, greece",greek4.mp3,greek,male,greece,59,15,10,greek
"nicosia, cyprus",greek5.mp3,greek,male,cyprus,59,15,10,greek
"igoumenitsa, greece",greek6.mp3,greek,female,greece,59,15,10,greek
"bangkok, thailand",thai5.mp3,thai,male,thailand,179,15,29,thai
"athens, greece",greek7.mp3,greek,male,greece,59,15,10,greek
"athens, greece",greek8.mp3,greek,male,greece,59,15,10,greek
"athens, greece",greek9.mp3,greek,female,greece,59,15,10,greek
"karprenici, greece",greek3.mp3,greek,female,greece,59,15,10,greek
"athens, greece",greek11.mp3,greek,female,greece,59,15,10,greek
"bangkok, thailand",thai15.mp3,thai,female,thailand,179,15,29,thai
"athens, greece",greek1.mp3,greek,male,greece,59,15,10,greek
"songkhla, thailand",thai4.mp3,thai,female,thailand,179,15,29,thai
"vlore, albania",greek13.mp3,greek,female,albania,59,15,10,greek
"phrae, thailand",thai7.mp3,thai,female,thailand,179,15,29,thai
"lancaster, pennsylvania, usa",greek14.mp3,greek,female,usa,59,15,10,greek
"jerusalem, israel",greek15.mp3,greek,female,israel,59,15,10,greek
"athens, greece",greek2.mp3,greek,female,greece,59,15,10,greek
"bangkok, thailand",thai8.mp3,thai,male,thailand,179,15,29,thai
"bangkok, thailand",thai9.mp3,thai,female,thailand,179,15,29,thai
"nicosia, cyprus",greek10.mp3,greek,male,cyprus,59,15,10,greek
"karachi, pakistan",urdu1.mp3,urdu,male,pakistan,187,16,31,urdu
"alexandria, virginia, usa",urdu9.mp3,urdu,female,usa,187,16,31,urdu
"abu dhabi, united arab emirates",urdu8.mp3,urdu,female,united arab emirates,187,16,31,urdu
"islamabad, pakistan",urdu7.mp3,urdu,male,pakistan,187,16,31,urdu
"karachi, pakistan",urdu10.mp3,urdu,male,pakistan,187,16,31,urdu
"karachi, pakistan",urdu11.mp3,urdu,male,pakistan,187,16,31,urdu
"mandi bahauddin, punjab, pakistan",urdu15.mp3,urdu,male,pakistan,187,16,31,urdu
"lahore, pakistan",urdu13.mp3,urdu,female,pakistan,187,16,31,urdu
"islamabad, pakistan",urdu14.mp3,urdu,male,pakistan,187,16,31,urdu
"karachi, pakistan",urdu16.mp3,urdu,male,pakistan,187,16,31,urdu
"bangalore, india",urdu6.mp3,urdu,female,india,187,16,31,urdu
"karachi, pakistan",urdu5.mp3,urdu,male,pakistan,187,16,31,urdu
"kuwait city, kuwait",urdu4.mp3,urdu,male,kuwait,187,16,31,urdu
"karachi, sind, pakistan",urdu3.mp3,urdu,male,pakistan,187,16,31,urdu
"sialkot, pakistan",urdu2.mp3,urdu,female,pakistan,187,16,31,urdu
"islamabad, pakistan",urdu12.mp3,urdu,female,pakistan,187,16,31,urdu
"mymensingh, bangladesh",bengali7.mp3,bengali,male,bangladesh,19,17,2,bengali
"noakhali, bangladesh",bengali8.mp3,bengali,male,bangladesh,19,17,2,bengali
"dhaka, bangladesh",bengali1.mp3,bengali,male,bangladesh,19,17,2,bengali
"lusaka, zambia",bengali2.mp3,bengali,female,zambia,19,17,2,bengali
"jamshedpur, jharkhand, india",bengali6.mp3,bengali,male,india,19,17,2,bengali
"dhaka, bangladesh",bengali5.mp3,bengali,female,bangladesh,19,17,2,bengali
"chittagong, bangladesh",bengali4.mp3,bengali,male,bangladesh,19,17,2,bengali
"dhaka, bangladesh",bengali3.mp3,bengali,female,bangladesh,19,17,2,bengali
"dhaka, bangladesh",bengali10.mp3,bengali,female,bangladesh,19,17,2,bengali
"durgapur, west bengal, india",bengali11.mp3,bengali,male,india,19,17,2,bengali
"sylhet, bangladesh",bengali12.mp3,bengali,female,bangladesh,19,17,2,bengali
"dhaka, bangladesh",bengali13.mp3,bengali,female,bangladesh,19,17,2,bengali
"kolkata, india",bengali9.mp3,bengali,female,india,19,17,2,bengali
"sylhet, bangladesh",bengali17.mp3,bengali,female,bangladesh,19,17,2,bengali
"dhaka, bangladesh",bengali16.mp3,bengali,female,bangladesh,19,17,2,bengali
"kolkata, india",bengali14.mp3,bengali,male,india,19,17,2,bengali
"dhaka, bangladesh",bengali15.mp3,bengali,female,bangladesh,19,17,2,bengali
"sofia, bulgaria",bulgarian2.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"sofia, bulgaria",bulgarian3.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"plovdiv, bulgaria",bulgarian4.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"sofia, bulgaria",bulgarian5.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"ruse, bulgaria",bulgarian6.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"stara zagora, bulgaria",bulgarian7.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"sofia, bulgaria",bulgarian8.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"belgrade, serbia",serbian5.mp3,serbian,male,serbia,151,18,24,serbian
"kraljevo, serbia",serbian6.mp3,serbian,male,serbia,151,18,24,serbian
"chirpan, bulgaria",bulgarian13.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"razlog, bulgaria",bulgarian18.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"kraljevo, serbia",serbian8.mp3,serbian,male,serbia,151,18,24,serbian
"kragujevac, serbia",serbian9.mp3,serbian,female,serbia,151,18,24,serbian
"sofia, bulgaria",bulgarian12.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"sofia, bulgaria",bulgarian17.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"kyustendil, bulgaria",bulgarian16.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"varna, bulgaria",bulgarian15.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"sofia, bulgaria",bulgarian14.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"belgrade, serbia",serbian7.mp3,serbian,female,serbia,151,18,24,serbian
"manila, philippines",tagalog13.mp3,tagalog,female,philippines,170,18,28,tagalog
"teslic, bosnia and herzegovina",serbian13.mp3,serbian,female,bosnia and herzegovina,151,18,24,serbian
"belgrade, serbia",serbian3.mp3,serbian,male,serbia,151,18,24,serbian
"nagpur, maharashtra, india",hindi1.mp3,hindi,male,india,67,18,11,hindi
"new delhi, india",hindi10.mp3,hindi,female,india,67,18,11,hindi
"chandigarh, india",hindi11.mp3,hindi,male,india,67,18,11,hindi
"allahabad, india",hindi12.mp3,hindi,female,india,67,18,11,hindi
"jaipur, india",hindi13.mp3,hindi,female,india,67,18,11,hindi
"new delhi, india",hindi14.mp3,hindi,male,india,67,18,11,hindi
"new delhi, india",hindi15.mp3,hindi,female,india,67,18,11,hindi
"quezon city, philippines",tagalog6.mp3,tagalog,male,philippines,170,18,28,tagalog
"tarlac city, philippines",tagalog5.mp3,tagalog,female,philippines,170,18,28,tagalog
"san fernando, la union, philippines",tagalog4.mp3,tagalog,female,philippines,170,18,28,tagalog
"honiara, guadalcanal, solomon islands",tagalog3.mp3,tagalog,female,solomon islands,170,18,28,tagalog
"urdaneta, luzon, philippines",tagalog2.mp3,tagalog,female,philippines,170,18,28,tagalog
"manila, philippines",tagalog18.mp3,tagalog,female,philippines,170,18,28,tagalog
"alexandria, virginia, usa",tagalog17.mp3,tagalog,male,usa,170,18,28,tagalog
"san pedro laguna, philippines",tagalog16.mp3,tagalog,male,philippines,170,18,28,tagalog
"manila, philippines",tagalog15.mp3,tagalog,female,philippines,170,18,28,tagalog
"new delhi, india",hindi16.mp3,hindi,male,india,67,18,11,hindi
"new delhi, india",hindi17.mp3,hindi,female,india,67,18,11,hindi
"new delhi, india",hindi18.mp3,hindi,female,india,67,18,11,hindi
"hyderabad, india",hindi2.mp3,hindi,male,india,67,18,11,hindi
"jalandhar, india",hindi3.mp3,hindi,male,india,67,18,11,hindi
"bhilwara, rajisthan, india",hindi4.mp3,hindi,female,india,67,18,11,hindi
"hubballi, karnataka, india",hindi5.mp3,hindi,female,india,67,18,11,hindi
"manila, philippines",tagalog1.mp3,tagalog,male,philippines,170,18,28,tagalog
"manila, philippines",tagalog10.mp3,tagalog,female,philippines,170,18,28,tagalog
"manila, philippines",tagalog11.mp3,tagalog,female,philippines,170,18,28,tagalog
"legaspi, philippines",tagalog12.mp3,tagalog,female,philippines,170,18,28,tagalog
"bosanska krupa, bosnia",serbian1.mp3,serbian,female,bosnia,151,18,24,serbian
"velika plana, serbia",serbian4.mp3,serbian,male,serbia,151,18,24,serbian
"belgrade, serbia",serbian10.mp3,serbian,male,serbia,151,18,24,serbian
"ruse, bulgaria",bulgarian9.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"manila, philippines",tagalog9.mp3,tagalog,male,philippines,170,18,28,tagalog
"vranje, serbia",serbian12.mp3,serbian,female,serbia,151,18,24,serbian
"belgrade, serbia",serbian11.mp3,serbian,male,serbia,151,18,24,serbian
"legaspi, philippines",tagalog14.mp3,tagalog,female,philippines,170,18,28,tagalog
"podgorica, montenegro",serbian14.mp3,serbian,female,montenegro,151,18,24,serbian
"tuzla, bosnia and herzegovina",serbian15.mp3,serbian,female,bosnia and herzegovina,151,18,24,serbian
"belgrade, serbia",serbian16.mp3,serbian,male,serbia,151,18,24,serbian
"belgrade, serbia",serbian17.mp3,serbian,female,serbia,151,18,24,serbian
"belgrade, serbia",serbian18.mp3,serbian,male,serbia,151,18,24,serbian
"zrenjanin, serbia, yugoslavia",serbian2.mp3,serbian,male,yugoslavia,151,18,24,serbian
"plovdiv, bulgaria",bulgarian1.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"dobrich, bulgaria",bulgarian10.mp3,bulgarian,female,bulgaria,21,18,3,bulgarian
"dobrich, bulgaria",bulgarian11.mp3,bulgarian,male,bulgaria,21,18,3,bulgarian
"durgapur, west bengal, india",hindi9.mp3,hindi,male,india,67,18,11,hindi
"imphal, india",hindi8.mp3,hindi,male,india,67,18,11,hindi
"allahabad, utter pardesh, india",hindi7.mp3,hindi,female,india,67,18,11,hindi
"new delhi, india",hindi6.mp3,hindi,female,india,67,18,11,hindi
"manila, philippines",tagalog7.mp3,tagalog,male,philippines,170,18,28,tagalog
"cabanatuan city, philippines",tagalog8.mp3,tagalog,female,philippines,170,18,28,tagalog
"addis ababa, ethiopia",amharic18.mp3,amharic,female,ethiopia,5,20,0,amharic
"werder, ethiopia",amharic16.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic15.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic14.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic13.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic12.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic11.mp3,amharic,female,ethiopia,5,20,0,amharic
"gonder, ethiopia",amharic10.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic1.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic17.mp3,amharic,male,ethiopia,5,20,0,amharic
"tefki, ethiopia",amharic19.mp3,amharic,female,ethiopia,5,20,0,amharic
"uppsala, sweden",swedish2.mp3,swedish,male,sweden,167,20,27,swedish
"addis ababa, ethiopia",amharic20.mp3,amharic,female,ethiopia,5,20,0,amharic
"bucharest, romania",romanian5.mp3,romanian,female,romania,142,20,22,romanian
"bucharest, romania",romanian4.mp3,romanian,female,romania,142,20,22,romanian
"birtem, romania",romanian3.mp3,romanian,male,romania,142,20,22,romanian
"bucharest, romania",romanian20.mp3,romanian,female,romania,142,20,22,romanian
"bucharest, romania",romanian2.mp3,romanian,male,romania,142,20,22,romanian
"chisinau, moldova",romanian19.mp3,romanian,male,moldova,142,20,22,romanian
"solotvino, ukraine",romanian18.mp3,romanian,female,ukraine,142,20,22,romanian
"bucharest, romania",romanian6.mp3,romanian,male,romania,142,20,22,romanian
"chisinau, moldova",romanian17.mp3,romanian,female,moldova,142,20,22,romanian
"bucharest, romania",romanian15.mp3,romanian,female,romania,142,20,22,romanian
"costesti, moldova",romanian14.mp3,romanian,female,moldova,142,20,22,romanian
"babadag, romanian",romanian13.mp3,romanian,male,romanian,142,20,22,romanian
"chisinau, moldova",romanian12.mp3,romanian,female,moldova,142,20,22,romanian
"buzau, romania",romanian11.mp3,romanian,male,romania,142,20,22,romanian
"bucharest, romania",romanian10.mp3,romanian,female,romania,142,20,22,romanian
"timisoara, romania",romanian1.mp3,romanian,male,romania,142,20,22,romanian
"bucharest, romania",romanian16.mp3,romanian,female,romania,142,20,22,romanian
"bucharest, romania",romanian7.mp3,romanian,male,romania,142,20,22,romanian
"bucharest, romania",romanian8.mp3,romanian,male,romania,142,20,22,romanian
"bacau, romania",romanian9.mp3,romanian,female,romania,142,20,22,romanian
"ekenas, finland",swedish19.mp3,swedish,male,finland,167,20,27,swedish
"lulea, sweden",swedish18.mp3,swedish,male,sweden,167,20,27,swedish
"farjestaden, sweden",swedish17.mp3,swedish,female,sweden,167,20,27,swedish
"goteborg, sweden",swedish16.mp3,swedish,female,sweden,167,20,27,swedish
"stokholm, sweden",swedish15.mp3,swedish,male,sweden,167,20,27,swedish
"vetlanda, sweden",swedish14.mp3,swedish,male,sweden,167,20,27,swedish
"umea, sweden",swedish13.mp3,swedish,female,sweden,167,20,27,swedish
"malmo, sweden",swedish12.mp3,swedish,male,sweden,167,20,27,swedish
"espoo, finland",swedish11.mp3,swedish,female,finland,167,20,27,swedish
"lidkoping, sweden",swedish10.mp3,swedish,female,sweden,167,20,27,swedish
"solna, sweden",swedish1.mp3,swedish,female,sweden,167,20,27,swedish
"stockholm, sweden",swedish3.mp3,swedish,male,sweden,167,20,27,swedish
"lulea, sweden",swedish4.mp3,swedish,male,sweden,167,20,27,swedish
"goteborg, sweden",swedish5.mp3,swedish,male,sweden,167,20,27,swedish
"goteborg, sweden",swedish6.mp3,swedish,male,sweden,167,20,27,swedish
"sollentuna, sweden",swedish7.mp3,swedish,female,sweden,167,20,27,swedish
"helsinki, finland",swedish8.mp3,swedish,female,finland,167,20,27,swedish
"uddevalla, sweden",swedish9.mp3,swedish,male,sweden,167,20,27,swedish
"arba minch, ethiopia",amharic2.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic8.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic3.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic4.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic5.mp3,amharic,male,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic6.mp3,amharic,female,ethiopia,5,20,0,amharic
"addis ababa, ethiopia",amharic7.mp3,amharic,male,ethiopia,5,20,0,amharic
"karlstad, sweden",swedish20.mp3,swedish,male,sweden,167,20,27,swedish
"addis ababa, ethiopia",amharic9.mp3,amharic,male,ethiopia,5,20,0,amharic
"saigon, vietnam",vietnamese18.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"can tho, vietnam",vietnamese1.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"quang nam, vietnam",vietnamese10.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"quang nam, vietnam",vietnamese11.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese17.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"hanoi, vietnam",vietnamese13.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese14.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese15.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"can tho, vietnam",vietnamese12.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
"ho chi minh city, vietnam",vietnamese9.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"bien hoa, vietnam",vietnamese22.mp3,vietnamese,male,vietnam,190,22,32,vietnamese
"hue, vietnam",vietnamese7.mp3,vietnamese,female,vietnam,190,22,32,vietnamese
